"Name_Poetry_Books_name","Name_Poetry_Books_url","Name_Poetry_Books_Author","Name_Poetry_Books_Price","Name_Poetry_Books_Type_Copy","Name_Poetry_Books_Reviews","Name_Poetry_Books_Formats_Available","Name_Poetry_Books_Genre","Name_Poetry_Books_Product_details_Publisher","Name_Poetry_Books_Product_details_Language","Name_Poetry_Books_extract1"
"I hope this reaches her too","https://www.amazon.com/hope-this-reaches-her-too/dp/1719062277/ref=zg_bs_10248_16/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r. h. Sin","$3.99","Paperback","62 customer reviews","","","Language: English","","I hope this reaches her too"
"I hope this reaches her too","https://www.amazon.com/hope-this-reaches-her-too/dp/1719062277/ref=zg_bs_10248_16/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r. h. Sin","$3.99","Paperback","62 customer reviews","","","","English","I hope this reaches her too"
"I Am Her Tribe","https://www.amazon.com/Am-Her-Tribe-Danielle-Doby/dp/1449495559/ref=zg_bs_10248_17/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$11.99","Paperback","14 customer reviews","","Poetry by Women","Language: English","","I Am Her Tribe"
"I Am Her Tribe","https://www.amazon.com/Am-Her-Tribe-Danielle-Doby/dp/1449495559/ref=zg_bs_10248_17/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$11.99","Paperback","14 customer reviews","","Poetry by Women","","English","I Am Her Tribe"
"I Know Why the Caged Bird Sings","https://www.amazon.com/Know-Why-Caged-Bird-Sings/dp/0345514408/ref=zg_bs_10248_18/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Maya Angelou","$6.39","Mass Market Paperback","2,884 customer reviews","","Southern U.S. Biographies","Language: English","","I Know Why the Caged Bird Sings"
"I Know Why the Caged Bird Sings","https://www.amazon.com/Know-Why-Caged-Bird-Sings/dp/0345514408/ref=zg_bs_10248_18/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Maya Angelou","$6.39","Mass Market Paperback","2,884 customer reviews","","Southern U.S. Biographies","","English","I Know Why the Caged Bird Sings"
"Pillow Thoughts","https://www.amazon.com/Pillow-Thoughts-Courtney-Peppernell/dp/1449489753/ref=zg_bs_10248_19/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Courtney Peppernell","$13.59","Paperback","184 customer reviews","Make a cup of tea and let yourself feel.
Pillow Thoughts is a collection of poetry and prose about heartbreak, love, and raw emotions. It is divided into sections to read when you feel you need them most.","","Language: English","","Pillow Thoughts"
"Pillow Thoughts","https://www.amazon.com/Pillow-Thoughts-Courtney-Peppernell/dp/1449489753/ref=zg_bs_10248_19/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Courtney Peppernell","$13.59","Paperback","184 customer reviews","Make a cup of tea and let yourself feel.
Pillow Thoughts is a collection of poetry and prose about heartbreak, love, and raw emotions. It is divided into sections to read when you feel you need them most.","","","English","Pillow Thoughts"
"The Odyssey","https://www.amazon.com/Odyssey-Homer/dp/0140268863/ref=zg_bs_10248_20/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Homer","$14.29","Paperback","4,428 customer reviews","","Ancient & Classical Poetry","Publisher: Penguin Classics; Reprint edition (November 29, 1999)","","The Odyssey"
"The Odyssey","https://www.amazon.com/Odyssey-Homer/dp/0140268863/ref=zg_bs_10248_20/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Homer","$14.29","Paperback","4,428 customer reviews","","Ancient & Classical Poetry","","English","The Odyssey"
